date,HD
2016-02-19,40.81
2016-02-20,49.29
2016-02-21,52.470000000000006
2016-02-22,38.690000000000005
2016-02-23,41.34
2016-02-24,42.400000000000006
2016-02-25,42.400000000000006
2016-02-26,36.57
2016-02-27,48.760000000000005
2016-02-28,48.760000000000005
2016-02-29,42.400000000000006
2016-03-01,49.2
2016-03-02,46.2
2016-03-03,45.6
2016-03-04,49.8
2016-03-05,58.8
2016-03-06,60.0
2016-03-07,51.6
2016-03-08,50.4
2016-03-09,45.0
2016-03-10,48.6
2016-03-11,49.2
2016-03-12,54.6
2016-03-13,54.6
2016-03-14,49.2
2016-03-15,46.2
2016-03-16,48.0
2016-03-17,45.6
2016-03-18,48.6
2016-03-19,57.0
2016-03-20,55.8
2016-03-21,46.8
2016-03-22,52.8
2016-03-23,46.8
2016-03-24,49.8
2016-03-25,48.6
2016-03-26,51.6
2016-03-27,55.2
2016-03-28,48.0
2016-03-29,45.6
2016-03-30,48.0
2016-03-31,45.0
2016-04-01,47.040000000000006
2016-04-02,53.2
2016-04-03,56.00000000000001
2016-04-04,43.120000000000005
2016-04-05,47.040000000000006
2016-04-06,47.6
2016-04-07,47.6
2016-04-08,49.84
2016-04-09,51.52
2016-04-10,53.2
2016-04-11,47.6
2016-04-12,47.6
2016-04-13,44.8
2016-04-14,43.68000000000001
2016-04-15,46.48
2016-04-16,53.760000000000005
2016-04-17,52.080000000000005
2016-04-18,46.48
2016-04-19,45.92
2016-04-20,42.56
2016-04-21,39.760000000000005
2016-04-22,44.24
